t,py,vy
6.2000,1.941261,1.819089
6.2083,1.956080,1.737339
6.2167,1.970217,1.655589
6.2250,1.983673,1.573839
6.2333,1.996448,1.492089
6.2417,2.008541,1.410339
6.2500,2.019953,1.328589
6.2583,2.030684,1.246839
6.2667,2.040734,1.165089
6.2750,2.050102,1.083339
6.2833,2.058790,1.001589
6.2917,2.066796,0.919839
6.3000,2.074120,0.838089
6.3083,2.080764,0.756339
6.3167,2.086726,0.674589
6.3250,2.092007,0.592839
6.3333,2.096607,0.511089
6.3417,2.100525,0.429339
6.3500,2.103762,0.347589
6.3583,2.106318,0.265839
6.3667,2.108193,0.184089
6.3750,2.109386,0.102339
6.3833,2.109898,0.020589
6.3917,2.109729,-0.061161
6.4000,2.108879,-0.142911
6.4083,2.107348,-0.224661
6.4167,2.105135,-0.306411
6.4250,2.102241,-0.388161
6.4333,2.098665,-0.469911
6.4417,2.094409,-0.551661
6.4500,2.089471,-0.633411
6.4583,2.083852,-0.715161
6.4667,2.077552,-0.796911
6.4750,2.070570,-0.878661
6.4833,2.062907,-0.960411
6.4917,2.054563,-1.042161
6.5000,2.045538,-1.123911
6.5083,2.035831,-1.205661
6.5167,2.025444,-1.287411
6.5250,2.014375,-1.369161
6.5333,2.002624,-1.450911
6.5417,1.990193,-1.532661
6.5500,1.977080,-1.614411
6.5583,1.963286,-1.696161
6.5667,1.948811,-1.777911
6.5750,1.933654,-1.859661
6.5833,1.917816,-1.941411
6.5917,1.901297,-2.023161
6.6000,1.884097,-2.104911
6.6083,1.866215,-2.186661
6.6167,1.847653,-2.268411
6.6250,1.828408,-2.350161
6.6333,1.808483,-2.431911
6.6417,1.787877,-2.513661
6.6500,1.766589,-2.595411
6.6583,1.744620,-2.677161
6.6667,1.721969,-2.758911
6.6750,1.698638,-2.840661
6.6833,1.674625,-2.922411
6.6917,1.649931,-3.004161
6.7000,1.624556,-3.085911
6.7083,1.598499,-3.167661
6.7167,1.571761,-3.249411
6.7250,1.544342,-3.331161
6.7333,1.516242,-3.412911
6.7417,1.487461,-3.494661
6.7500,1.457998,-3.576411
6.7583,1.427854,-3.658161
6.7667,1.397028,-3.739911
6.7750,1.365522,-3.821661
6.7833,1.333334,-3.903411
6.7917,1.300465,-3.985161
6.8000,1.266915,-4.066911
6.8083,1.232683,-4.148661
6.8167,1.197770,-4.230411
6.8250,1.162176,-4.312161
6.8333,1.125901,-4.393911
6.8417,1.088944,-4.475661
6.8500,1.051307,-4.557411
6.8583,1.012988,-4.639161
6.8667,0.973987,-4.720911
6.8750,0.934306,-4.802661
6.8833,0.893943,-4.884411
6.8917,0.852899,-4.966161
6.9000,0.811174,-5.047911
6.9083,0.768767,-5.129661
6.9167,0.725679,-5.211411
6.9250,0.681910,-5.293161
6.9333,0.637460,-5.374911
6.9417,0.592328,-5.456661
6.9500,0.546515,-5.538411
6.9583,0.500021,-5.620161
6.9667,0.452846,-5.701911
6.9750,0.404990,-5.783661
6.9833,0.356452,-5.865411
6.9917,0.307233,-5.947161
7.0000,0.257332,-6.028911
7.0083,0.206751,-6.110661
