t,tick,state,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,forces,forcesNames,cnx,cny,cnz,hasContact,penetration,vSlip
50.475000,6057,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.483333,6058,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.491667,6059,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.500000,6060,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.508333,6061,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.516667,6062,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.525000,6063,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.533333,6064,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.541667,6065,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.550000,6066,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.558333,6067,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
